O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,Janita Pandurang Madkaikar,Bharatiya Janata Party,122,198,276,466,624,655,695,812,Goa-Cumbarjua,Cumbarjua
2,Rajesh Faldessai,Indian National Congress,772,765,639,750,527,1008,838,1302,Goa-Cumbarjua,Cumbarjua
3,Samil Audumber Volvaiker,All India Trinamool Congress,196,273,401,436,397,521,499,292,Goa-Cumbarjua,Cumbarjua
4,Chhagan Narayan Naik,Revolutionary Goans Party,176,245,402,269,269,349,354,326,Goa-Cumbarjua,Cumbarjua
5,Gorakhanath Suresh Kerkar,Aam Aadmi Party,32,98,135,21,133,202,302,70,Goa-Cumbarjua,Cumbarjua
6,Maria Christina Varela,Goencho Swabhiman Party,10,4,11,8,19,11,8,8,Goa-Cumbarjua,Cumbarjua
7,Rohan Ranganath Harmalkar,Independent,760,757,381,807,177,236,401,265,Goa-Cumbarjua,Cumbarjua
8,NOTA,None of the Above,22,35,22,44,47,58,45,49,Goa-Cumbarjua,Cumbarjua
