O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,Janardhan Bhandari,Indian National Congress,885,801,610,672,1146,621,236,192,64,Goa-Canacona,Canacona
2,Mahadev Dessai,All India Trinamool Congress,90,132,212,133,93,61,92,202,35,Goa-Canacona,Canacona
3,Ramesh Tawadkar,Bharatiya Janata Party,806,1310,1150,1208,832,515,968,1297,550,Goa-Canacona,Canacona
4,Anoop Balkrishna Kudtarkar,Aam Aadmi Party,107,100,111,97,161,58,122,50,19,Goa-Canacona,Canacona
5,Prashant Suresh Pagi,Revolutionary Goans Party,331,201,210,165,244,259,67,80,17,Goa-Canacona,Canacona
6,Isidore Aleixinho Fernandes,Independent,588,844,454,613,420,742,708,1096,370,Goa-Canacona,Canacona
7,Kanay Pagi,Independent,7,7,23,12,13,7,9,33,6,Goa-Canacona,Canacona
8,Vijay Pai Khot,Independent,460,605,554,671,701,557,263,574,173,Goa-Canacona,Canacona
9,NOTA,None of the Above,26,23,32,51,41,38,20,48,13,Goa-Canacona,Canacona
