O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,MANISHA SHENVI USGAONKAR,Indian National Congress,622,207,149,150,168,315,419,51,Goa-Valpoi,Valpoi
2,VISHVESH PRABHU,Maharashtrawadi Gomantak,45,71,37,42,79,22,41,6,Goa-Valpoi,Valpoi
3,VISHWAJIT PRATAPSINGH RANE,Bharatiya Janata Party,2079,2391,2023,1857,1516,1621,2254,325,Goa-Valpoi,Valpoi
4,DEVIDAS GAONKAR,Shiv Sena,15,35,49,33,20,9,19,3,Goa-Valpoi,Valpoi
5,SATYAVIJAY NAIK,Aam Aadmi Party,501,246,237,396,350,363,459,32,Goa-Valpoi,Valpoi
6,SUDESH MADHUKAR PARAB,Jai Maha Bharath Party,25,36,42,85,42,46,75,3,Goa-Valpoi,Valpoi
7,TUKARAM BHARAT PARAB,Revolutionary Goans Party,240,731,914,591,1397,1469,616,361,Goa-Valpoi,Valpoi
8,ROHIDAS SADA GAONKAR,Independent,10,25,28,26,22,6,17,3,Goa-Valpoi,Valpoi
9,NOTA,None of the Above,56,72,81,57,48,40,47,6,Goa-Valpoi,Valpoi
