O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,state_city,constituency_from_link
1,ATANASIO MONSERRATE,Bharatiya Janata Party,1167,822,992,1416,1099,1035,Goa-Panaji,Panaji
2,ELVIS GOMES,Indian National Congress,343,569,633,353,411,753,Goa-Panaji,Panaji
3,RAJESH VINAYAK REDKAR,Revolutionary Goans Party,103,44,57,52,34,64,Goa-Panaji,Panaji
4,VALMIKI DATTA NAIK,Aam Aadmi Party,83,124,116,85,145,207,Goa-Panaji,Panaji
5,DEVENDRA SUNDARAM,Independent,7,7,9,2,5,5,Goa-Panaji,Panaji
6,UTPAL MANOHAR PARRIKAR,Independent,784,863,1000,1046,1090,1074,Goa-Panaji,Panaji
7,YESHWANT MADAR,Independent,2,7,7,5,8,6,Goa-Panaji,Panaji
8,NOTA,None of the Above,26,34,24,33,23,26,Goa-Panaji,Panaji
