O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,ANTHONY BARBOSA,Bharatiya Janata Party,361,303,67,93,445,774,282,Goa-Curtorim,Curtorim
2,ANTHONY ALBERTO PEIXOTO,All India Trinamool Congress,18,17,32,55,99,114,13,Goa-Curtorim,Curtorim
3,MORENO REBELO,Indian National Congress,621,371,409,553,654,881,316,Goa-Curtorim,Curtorim
4,DOMINGO GAUNKAR (DOMNIC),Aam Aadmi Party,637,455,398,374,290,350,210,Goa-Curtorim,Curtorim
5,RUBERT PEREIRA,Revolutionary Goans Party,717,618,691,456,477,159,305,Goa-Curtorim,Curtorim
6,ALEIXO REGINALDO LOURENCO,Independent,1393,983,1136,1673,1544,1359,618,Goa-Curtorim,Curtorim
7,CONCEICAO DIAS,Independent,8,7,9,22,51,4,5,Goa-Curtorim,Curtorim
8,ISIDORIO,Independent,15,47,12,9,7,8,14,Goa-Curtorim,Curtorim
9,NOTA,None of the Above,34,23,17,25,36,66,27,Goa-Curtorim,Curtorim
