O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,JENNIFER MONSERRATE,Bharatiya Janata Party,1230,1162,815,879,1195,1084,1419,1289,842,Goa-Taleigao,Taleigao
2,SHUBHANGI DEU SAWANT,Maharashtrawadi Gomantak,16,13,10,12,18,17,10,17,7,Goa-Taleigao,Taleigao
3,TONY ALFREDO RODRIGUES,Indian National Congress,1142,885,1064,773,828,680,1082,908,618,Goa-Taleigao,Taleigao
4,CECILLE RODRIGUES,Aam Aadmi Party,284,313,310,350,232,277,323,322,139,Goa-Taleigao,Taleigao
5,Joseph Licio Roncon,Revolutionary Goans Party,98,84,373,158,212,386,147,113,57,Goa-Taleigao,Taleigao
6,DILIP KASHINATH GHADI,Independent,1,4,3,2,2,5,1,2,3,Goa-Taleigao,Taleigao
7,ADV. PUNDALIK NAMDEO RAIKER,Independent,20,17,31,40,40,63,22,16,27,Goa-Taleigao,Taleigao
8,SHIVANAND HARIJAN,Independent,0,3,4,2,3,4,3,5,0,Goa-Taleigao,Taleigao
9,NOTA,None of the Above,51,51,46,45,37,49,66,51,18,Goa-Taleigao,Taleigao
