O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,JITENDRA YESHWANT GAONKAR,Indian National Congress,196,118,290,302,138,240,112,121,129,88,67,Goa-Pernem,Pernem
2,PRAVIN PRABHAKAR ARLEKAR,Bharatiya Janata Party,866,976,1306,1008,1049,1489,1402,1464,1524,1353,177,Goa-Pernem,Pernem
3,RAJAN BABUSO KORGAONKAR,Maharashtrawadi Gomantak,881,1097,718,1040,944,1011,908,703,1089,795,140,Goa-Pernem,Pernem
4,PUNDALIK DHARGALKAR,Aam Aadmi Party,19,25,50,16,23,17,39,25,24,26,2,Goa-Pernem,Pernem
5,SUBHASH BARKELO KERKAR,Shiv Sena,22,19,33,25,18,35,16,21,21,10,2,Goa-Pernem,Pernem
6,SUJAY D. MHAPSEKAR,Revolutionary Goans Party,443,344,298,249,131,293,281,344,185,124,43,Goa-Pernem,Pernem
7,GURUDAS VIRNODKAR,Independent,7,10,10,3,2,5,4,3,9,7,2,Goa-Pernem,Pernem
8,KAMLAKAR SHANKAR GADKAR,Independent,12,14,8,12,8,15,7,21,18,12,2,Goa-Pernem,Pernem
9,VISHNUDAS KORGAONKAR,Independent,149,128,106,96,22,72,67,80,75,54,6,Goa-Pernem,Pernem
10,NOTA,None of the Above,29,31,51,41,20,48,29,29,50,26,7,Goa-Pernem,Pernem
