O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,state_city,constituency_from_link
1,ALEIXO SEQUEIRA,Indian National Congress,1777,1449,1202,1438,1373,1317,Goa-Nuvem,Nuvem
2,Datta Borkar,Bharatiya Janata Party,175,80,88,104,36,64,Goa-Nuvem,Nuvem
3,JOSE R CABRAL (RAJU),All India Trinamool Congress,739,319,160,173,128,171,Goa-Nuvem,Nuvem
4,PACHECO FRANCISCO XAVIER,Nationalist Congress Party,276,272,183,220,354,730,Goa-Nuvem,Nuvem
5,ARVIND D'COSTA,Revolutionary Goans Party,596,696,629,637,800,902,Goa-Nuvem,Nuvem
6,DR. MARIANO GODINHO,Aam Aadmi Party,151,127,166,196,288,255,Goa-Nuvem,Nuvem
7,WILFRED D'SA,Independent,602,408,439,755,356,327,Goa-Nuvem,Nuvem
8,NOTA,None of the Above,36,34,30,26,13,35,Goa-Nuvem,Nuvem
