O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,JOSHUA PETER DE SOUZA,Bharatiya Janata Party,1151,1105,1165,943,1332,1159,1433,1354,341,Goa-Mapusa,Mapusa
2,SUDHIR RAMA KANDOLKAR,Indian National Congress,1110,991,834,1104,753,1005,834,928,820,Goa-Mapusa,Mapusa
3,TARAK AROLKAR,All India Trinamool Congress,317,151,190,144,51,127,170,178,22,Goa-Mapusa,Mapusa
4,JITESH JIVAJI KAMAT,Shiv Sena,13,14,28,8,3,14,13,26,4,Goa-Mapusa,Mapusa
5,RAHUL MHAMBRE,Aam Aadmi Party,136,172,219,241,155,251,126,129,47,Goa-Mapusa,Mapusa
6,ROHAN SALGAONKAR,Revolutionary Goans Party,267,124,112,180,51,76,59,79,30,Goa-Mapusa,Mapusa
7,NEETA PARESH KHANVILKAR,Independent,10,7,11,9,4,11,3,3,1,Goa-Mapusa,Mapusa
8,SUDESH DIGAMBER HASOTIKAR,Independent,4,7,3,11,2,3,4,3,2,Goa-Mapusa,Mapusa
9,NOTA,None of the Above,38,42,36,40,49,30,24,25,7,Goa-Mapusa,Mapusa
