O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,DEVIYA VISHWAJIT RANE,Bharatiya Janata Party,2700,2976,2154,2277,1854,1636,1981,1564,Goa-Poriem,Poriem
2,GANPAT GAONKAR,All India Trinamool Congress,258,112,137,227,138,140,309,170,Goa-Poriem,Poriem
3,RANJIT JAYASINGRAO RANE,Indian National Congress,154,359,176,103,181,197,136,160,Goa-Poriem,Poriem
4,GURUDAS GAONKAR,Shiv Sena,124,31,10,24,12,11,32,21,Goa-Poriem,Poriem
5,JAYESHWAR GAWDE,Jai Maha Bharath Party,27,38,25,27,31,38,38,18,Goa-Poriem,Poriem
6,SAMEER SATARKAR,Revolutionary Goans Party,384,401,189,389,317,1004,492,313,Goa-Poriem,Poriem
7,VISHWAJIT RANE,Aam Aadmi Party,427,382,363,237,505,514,659,681,Goa-Poriem,Poriem
8,NOTA,None of the Above,68,87,73,69,53,62,74,56,Goa-Poriem,Poriem
