O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,MEGHASHYAM VAMAN RAUT,Indian National Congress,44,300,155,130,44,64,30,60,74,Goa-Bicholim,Bicholim
2,NARESH RAJARAM SAWAL,Maharashtrawadi Gomantak,1023,1087,1416,939,559,885,769,1156,1078,Goa-Bicholim,Bicholim
3,RAJESH TULSHIDAS PATNEKAR,Bharatiya Janata Party,386,404,491,452,368,723,858,900,437,Goa-Bicholim,Bicholim
4,ANISH AVINASH NAIK,Revolutionary Goans Party,41,30,100,40,49,66,63,95,105,Goa-Bicholim,Bicholim
5,DR. CHANDRAKANT SHETYE,Independent,1025,971,1114,1157,913,1134,876,1218,960,Goa-Bicholim,Bicholim
6,NOTA,None of the Above,30,41,62,52,20,36,33,34,28,Goa-Bicholim,Bicholim
