O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,Alemao Yuri,Indian National Congress,1172,1635,1174,1393,1302,1845,365,252,434,Goa-Cuncolim,Cuncolim
2,CLAFASIO DIAS,Bharatiya Janata Party,434,1057,979,823,1094,1160,593,111,176,Goa-Cuncolim,Cuncolim
3,JORSON PIEDADE FERNANDES,All India Trinamool Congress,140,75,232,245,280,182,21,35,27,Goa-Cuncolim,Cuncolim
4,PRASHANT NAIK,Aam Aadmi Party,196,149,67,152,88,77,78,28,59,Goa-Cuncolim,Cuncolim
5,WILSON PETER CARDOZO,Revolutionary Goans Party,723,612,200,121,151,419,62,16,98,Goa-Cuncolim,Cuncolim
6,DERICK DIAS,Independent,6,7,6,4,6,15,0,1,3,Goa-Cuncolim,Cuncolim
7,MILAGRES GONSALVES,Independent,33,12,5,4,5,12,2,0,4,Goa-Cuncolim,Cuncolim
8,RAYMOND D'CRUZ,Independent,5,11,5,3,1,4,1,1,2,Goa-Cuncolim,Cuncolim
9,SANTOSH S. FAL DESSAI,Independent,27,67,270,226,189,333,139,23,26,Goa-Cuncolim,Cuncolim
10,SUDESH VINAYAK BHISE,Independent,163,50,18,29,16,18,11,0,2,Goa-Cuncolim,Cuncolim
11,NOTA,None of the Above,11,31,46,18,27,40,6,4,1,Goa-Cuncolim,Cuncolim
