O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,ALOYSIOUS D'SILVA,Nationalist Congress Party,75,51,26,9,29,28,15,Goa-Quepem,Quepem
2,ALTONE D'COSTA,Indian National Congress,2403,2357,2140,1810,2234,1914,1798,Goa-Quepem,Quepem
3,CHANDRAKANT KAVLEKAR,Bharatiya Janata Party,981,1355,1764,1370,1515,2430,1449,Goa-Quepem,Quepem
4,KANTA GAUDE,All India Trinamool Congress,16,20,19,23,26,32,17,Goa-Quepem,Quepem
5,ALEXY FERNANDES,Shiv Sena,8,8,11,8,7,17,7,Goa-Quepem,Quepem
6,RAUL PEREIRA,Aam Aadmi Party,63,84,64,17,28,40,13,Goa-Quepem,Quepem
7,VISHAL GAUNS DESSAI,Revolutionary Goans Party,358,285,181,66,93,73,75,Goa-Quepem,Quepem
8,NOTA,None of the Above,26,48,43,24,43,37,24,Goa-Quepem,Quepem
