O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,state_city,constituency_from_link
1,Jose Filipe De Sousa,Nationalist Congress Party,287,234,90,275,55,87,Goa-Dabolim,Dabolim
2,Mahesh Bhandari,All India Trinamool Congress,40,33,26,36,11,12,Goa-Dabolim,Dabolim
3,MAUVIN HELIODORO GODINHO,Bharatiya Janata Party,1391,1873,1215,1780,463,712,Goa-Dabolim,Dabolim
4,Captain Viriato Hipolito Mendonca Fernandes,Indian National Congress,1426,1243,866,1377,529,491,Goa-Dabolim,Dabolim
5,Gajanan Borkar,Revolutionary Goans Party,178,225,184,266,162,101,Goa-Dabolim,Dabolim
6,Premanand Nanoskar,Aam Aadmi Party,763,625,213,539,153,213,Goa-Dabolim,Dabolim
7,Tara Kerkar,Independent,29,12,11,13,1,3,Goa-Dabolim,Dabolim
8,NOTA,None of the Above,32,54,31,45,7,28,Goa-Dabolim,Dabolim
