O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,KETAN PRABHU BHATIKAR,Maharashtrawadi Gomantak,1032,1260,1274,851,1223,1039,458,135,Goa-Ponda,Ponda
2,RAJESH VERENKAR,Indian National Congress,781,1380,1276,907,945,920,286,240,Goa-Ponda,Ponda
3,RAVI NAIK,Bharatiya Janata Party,1019,932,963,898,1323,1256,745,133,Goa-Ponda,Ponda
4,SANISH TILVE,Revolutionary Goans Party,710,146,189,157,171,215,91,66,Goa-Ponda,Ponda
5,SUREL TILVE,Aam Aadmi Party,51,84,100,78,101,130,39,29,Goa-Ponda,Ponda
6,NARESH PADWALKAR,Independent,15,23,19,8,10,11,3,1,Goa-Ponda,Ponda
7,SANDEEP SINAI KHANDEPARKAR,Independent,294,132,117,107,199,222,104,22,Goa-Ponda,Ponda
8,NOTA,None of the Above,46,36,41,35,52,57,15,3,Goa-Ponda,Ponda
