O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,Jose Luis Carlos Almeida,Indian National Congress,1768,1362,1407,1348,1291,1028,955,155,Goa-Vasco-Da-Gama,Vasco-Da-Gama
2,Krishna V. Salkar,Bharatiya Janata Party,1787,2175,1613,2210,2104,1765,1043,183,Goa-Vasco-Da-Gama,Vasco-Da-Gama
3,Saifula Khan,All India Trinamool Congress,211,103,46,98,204,62,102,15,Goa-Vasco-Da-Gama,Vasco-Da-Gama
4,Andre Sebastiao Viegas,Revolutionary Goans Party,94,127,234,115,18,168,70,19,Goa-Vasco-Da-Gama,Vasco-Da-Gama
5,Maruti Shirgaonkar,Shiv Sena,10,3,6,6,13,11,18,4,Goa-Vasco-Da-Gama,Vasco-Da-Gama
6,Sandeep Bhagwan Shetye,Jai Maha Bharath Party,5,2,1,1,4,2,3,1,Goa-Vasco-Da-Gama,Vasco-Da-Gama
7,Sunil Loran,Aam Aadmi Party,102,124,94,95,112,115,109,22,Goa-Vasco-Da-Gama,Vasco-Da-Gama
8,Andrew D’Cunha,Independent,5,0,10,10,7,4,3,2,Goa-Vasco-Da-Gama,Vasco-Da-Gama
9,Chandrashekher Vast,Independent,7,5,12,7,18,2,1,0,Goa-Vasco-Da-Gama,Vasco-Da-Gama
10,NOTA,None of the Above,39,31,32,33,47,31,27,2,Goa-Vasco-Da-Gama,Vasco-Da-Gama
