O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Anthony Menezes,All India Trinamool Congress,201,192,141,346,294,313,173,Goa-Calangute,Calangute
2,Joseph Robert Sequeira,Bharatiya Janata Party,491,563,864,807,654,482,369,Goa-Calangute,Calangute
3,Michael Vincent Lobo,Indian National Congress,1676,1285,1396,954,1106,1338,1348,Goa-Calangute,Calangute
4,Marcelino Francisco Gonsalves,Revolutionary Goans Party,323,523,252,257,364,480,305,Goa-Calangute,Calangute
5,ROSHAN LUKE MATHIAS,Goencho Swabhiman Party,41,37,78,107,92,85,104,Goa-Calangute,Calangute
6,Sudesh Suresh Mayekar,Aam Aadmi Party,180,240,316,498,200,168,148,Goa-Calangute,Calangute
7,Ricardo D'Souza,Independent,10,74,85,23,36,25,9,Goa-Calangute,Calangute
8,NOTA,None of the Above,27,25,25,24,20,29,22,Goa-Calangute,Calangute
