O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Digvijay Madhu Velingkar,Nationalist Congress Party,11,18,13,10,25,43,26,Goa-Priol,Priol
2,Dinesh Shiva Zalmi,Indian National Congress,53,36,11,21,75,77,18,Goa-Priol,Priol
3,Govind Shepu Gaude,Bharatiya Janata Party,1565,2052,1489,1530,1743,1748,555,Goa-Priol,Priol
4,Pandurang Alias Deepak Dhavalikar,Maharashtrawadi Gomantak,1665,2118,1771,1282,1578,1625,498,Goa-Priol,Priol
5,Nonu Chandrakant Naik,Aam Aadmi Party,60,57,28,13,41,30,7,Goa-Priol,Priol
6,Vishvesh Naik,Revolutionary Goans Party,398,414,326,412,507,365,64,Goa-Priol,Priol
7,Dattaram Tukaram Shetkar,Independent,25,11,13,7,9,13,5,Goa-Priol,Priol
8,Sandeep Nigalye,Independent,286,258,534,542,319,574,111,Goa-Priol,Priol
9,NOTA,None of the Above,35,44,26,41,50,38,7,Goa-Priol,Priol
