O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Tukaram Borkar,Indian National Congress,508,359,402,147,171,167,169,Goa-Siroda,Siroda
2,Subhash Shirodkar,Bharatiya Janata Party,1402,1600,1116,1450,1271,837,393,Goa-Siroda,Siroda
3,Sanket Naik Mule,Maharashtrawadi Gomantak,664,447,282,242,165,343,201,Goa-Siroda,Siroda
4,Subhash Prabhudesai,Nationalist Congress Party,52,106,62,120,154,47,23,Goa-Siroda,Siroda
5,Mahadev Naik,Aam Aadmi Party,890,778,627,1273,1193,922,340,Goa-Siroda,Siroda
6,Mukesh Naik,Sambhaji Brigade Party,19,17,89,23,15,10,9,Goa-Siroda,Siroda
7,Shailesh Naik,Revolutionary Goans Party,728,783,880,962,523,791,357,Goa-Siroda,Siroda
8,Snehalo Gracias,Independent,35,25,32,32,17,26,19,Goa-Siroda,Siroda
9,NOTA,None of the Above,51,55,28,29,33,20,14,Goa-Siroda,Siroda
