O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,DAYANAND RAYU MANDREKAR,Bharatiya Janata Party,975,856,761,680,419,542,698,645,568,675,730,163,Goa-Siolim,Siolim
2,DELILAH MICHAEL LOBO,Indian National Congress,816,867,742,810,490,798,795,777,1048,1037,1017,258,Goa-Siolim,Siolim
3,LEAO F. P. DIAS,All India Trinamool Congress,7,18,14,45,53,5,13,17,19,13,7,1,Goa-Siolim,Siolim
4,CHARISMA FERNANDES,Shiv Sena,12,19,15,19,44,4,15,13,7,16,2,0,Goa-Siolim,Siolim
5,DIANA FERNANDES,Sambhaji Brigade Party,2,0,9,2,2,1,5,4,6,7,3,2,Goa-Siolim,Siolim
6,GAURESH MANDREKAR,Revolutionary Goans Party,243,353,328,279,317,292,389,296,245,249,116,27,Goa-Siolim,Siolim
7,JAGANATH GAONKAR,Jai Maha Bharath Party,3,2,3,1,0,2,8,4,9,0,2,1,Goa-Siolim,Siolim
8,VISHNU NAIK,Aam Aadmi Party,14,59,73,93,104,88,104,91,119,65,62,7,Goa-Siolim,Siolim
9,ANIL VAMAN KERKAR,Independent,2,2,5,3,5,3,6,4,2,14,4,0,Goa-Siolim,Siolim
10,DATTARAM PEDNEKAR,Independent,13,48,21,43,19,26,25,15,47,177,25,2,Goa-Siolim,Siolim
11,PALLAVI PRADEEP DABHOLKAR,Independent,10,23,8,14,4,4,10,7,12,15,2,3,Goa-Siolim,Siolim
12,PATRICK SAVIO ALMEIDA,Independent,33,34,67,157,68,292,372,224,57,129,10,8,Goa-Siolim,Siolim
13,VINOD DATTARAM PALYEKAR,Independent,30,64,48,48,10,30,18,20,34,14,74,12,Goa-Siolim,Siolim
14,NOTA,None of the Above,15,17,16,12,17,22,22,16,20,23,20,3,Goa-Siolim,Siolim
