O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,CARLOS ALVARES FERREIRA,Indian National Congress,873,1084,845,913,987,1023,1563,1271,515,Goa-Aldona,Aldona
2,GLENN JOHN VIJAY AMBROSE E SOUZA TICLO,Bharatiya Janata Party,989,885,971,1100,859,793,668,678,343,Goa-Aldona,Aldona
3,KIRAN KANDOLKAR,All India Trinamool Congress,645,303,344,829,387,319,442,256,76,Goa-Aldona,Aldona
4,GOVIND GOVENKAR,Shiv Sena,21,23,121,35,36,31,24,38,13,Goa-Aldona,Aldona
5,MAHESH SATELKAR,Aam Aadmi Party,124,481,135,130,85,73,100,88,51,Goa-Aldona,Aldona
6,POOJA MAYEKAR,Independent,16,5,15,16,18,12,12,10,5,Goa-Aldona,Aldona
7,NOTA,None of the Above,44,47,23,21,26,16,32,18,21,Goa-Aldona,Aldona
