O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,state_city,constituency_from_link
1,Antonio Caetano Fernandes,Bharatiya Janata Party,968,568,661,801,1045,647,718,401,390,Goa-St.Cruz,St.Cruz
2,Rodolfo Louis Fernandes,Indian National Congress,1180,1500,1039,1176,797,876,989,622,426,Goa-St.Cruz,St.Cruz
3,Victor Benjamin Gonsalves,All India Trinamool Congress,39,36,28,78,38,69,147,36,26,Goa-St.Cruz,St.Cruz
4,Ajay Tipu Kholkar,Revolutionary Goans Party,685,119,413,281,188,183,210,282,83,Goa-St.Cruz,St.Cruz
5,Amit Palekar,Aam Aadmi Party,434,1050,711,454,424,354,280,184,158,Goa-St.Cruz,St.Cruz
6,NOTA,None of the Above,56,39,43,45,41,41,27,32,20,Goa-St.Cruz,St.Cruz
