O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Antonio Feliciano Dias (Tony),Indian National Congress,926,698,822,723,989,352,99,Goa-Benaulim,Benaulim
2,Churchill Alemao,All India Trinamool Congress,653,926,792,947,821,614,243,Goa-Benaulim,Benaulim
3,Damodar (Samir) Bandodkar,Bharatiya Janata Party,92,170,92,192,151,92,32,Goa-Benaulim,Benaulim
4,Desmond Fernandes,Revolutionary Goans Party,637,510,838,753,643,310,93,Goa-Benaulim,Benaulim
5,Venzy Viegas,Aam Aadmi Party,886,889,1102,1148,981,1081,180,Goa-Benaulim,Benaulim
6,NOTA,None of the Above,35,24,24,29,19,23,5,Goa-Benaulim,Benaulim
