O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Bholanath Ghadi Sakhalkar,All India Trinamool Congress,35,27,85,31,46,21,28,15,20,29,7,Goa-Saligao,Saligao
2,Jayesh Salgaonkar,Bharatiya Janata Party,957,586,908,957,734,621,917,619,605,817,221,Goa-Saligao,Saligao
3,Kedar Jayprakash Naik,Indian National Congress,847,833,854,1074,666,865,1005,1436,1316,680,222,Goa-Saligao,Saligao
4,Mario Venancio Cordeiro,Aam Aadmi Party,71,79,94,124,114,93,58,79,69,34,14,Goa-Saligao,Saligao
5,Rohan Kalangutkar,Revolutionary Goans Party,154,164,314,373,191,103,84,70,172,239,24,Goa-Saligao,Saligao
6,Rupesh Damodar Naik,Independent,31,13,28,53,108,153,97,29,90,119,64,Goa-Saligao,Saligao
7,NOTA,None of the Above,17,14,22,29,17,22,17,28,19,15,7,Goa-Saligao,Saligao
