O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,Rohan Khaunte,Bharatiya Janata Party,1763,1653,1765,1205,1078,1318,1351,1216,Goa-Porvorim,Porvorim
2,Sandeep Vazarkar,All India Trinamool Congress,640,402,612,667,160,213,444,583,Goa-Porvorim,Porvorim
3,Shankar Phadte,Nationalist Congress Party,24,7,25,31,9,19,22,17,Goa-Porvorim,Porvorim
4,Vikas Ramchandra Prabhudesai,Indian National Congress,475,794,565,335,246,383,467,263,Goa-Porvorim,Porvorim
5,Ritesh Chodankar,Aam Aadmi Party,218,313,238,133,134,197,184,92,Goa-Porvorim,Porvorim
6,NOTA,None of the Above,84,73,62,50,32,67,41,52,Goa-Porvorim,Porvorim
