O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,Anthony Lino Fernandes,Indian National Congress,285,307,271,320,426,543,337,128,Goa-St. Andre,St. Andre
2,Estevan Elvis D'Souza,Nationalist Congress Party,17,31,16,12,7,18,15,12,Goa-St. Andre,St. Andre
3,Francisco Silveira,Bharatiya Janata Party,1030,819,508,474,511,556,862,349,Goa-St. Andre,St. Andre
4,Jagdish Umakant Bhobe,All India Trinamool Congress,127,252,121,276,94,141,141,70,Goa-St. Andre,St. Andre
5,Ramrao Surya Naik Wagh,Aam Aadmi Party,243,309,46,51,38,69,185,160,Goa-St. Andre,St. Andre
6,Viresh Mukesh Borkar,Revolutionary Goans Party,1013,603,683,548,529,614,904,398,Goa-St. Andre,St. Andre
7,Rama Kankonkar,Independent,46,60,12,12,7,13,57,6,Goa-St. Andre,St. Andre
8,NOTA,None of the Above,25,26,15,18,10,20,16,6,Goa-St. Andre,St. Andre
