O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,DAMU G. NAIK,Bharatiya Janata Party,1070,1411,1653,2150,1585,1312,150,Goa-Fatorda,Fatorda
2,SEOULA VAS,All India Trinamool Congress,145,100,91,89,89,90,27,Goa-Fatorda,Fatorda
3,VIJAI SARDESAI,Goa Forward Party,1663,2115,1845,1723,1489,1753,233,Goa-Fatorda,Fatorda
4,SANDESH TELEIKAR,Aam Aadmi Party,190,176,175,178,135,159,18,Goa-Fatorda,Fatorda
5,ADV. VALERIE FERNANDES,Revolutionary Goans Party,264,293,315,270,255,123,21,Goa-Fatorda,Fatorda
6,MICHAEL FERNS,Independent,14,6,5,6,8,11,6,Goa-Fatorda,Fatorda
7,NOTA,None of the Above,33,43,39,61,32,36,7,Goa-Fatorda,Fatorda
