O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Lavoo Mamledar,Indian National Congress,145,119,402,131,158,102,14,Goa-Marcaim,Marcaim
2,Ramkrishna Alias Sudin Dhavalikar,Maharashtrawadi Gomantak,2154,2111,2172,2000,2079,2537,346,Goa-Marcaim,Marcaim
3,Ravindra Talaulikar,Nationalist Congress Party,21,30,21,22,21,16,6,Goa-Marcaim,Marcaim
4,Sudesh Bhingi,Bharatiya Janata Party,635,364,506,685,867,781,69,Goa-Marcaim,Marcaim
5,Harishchandra Naik,Jai Maha Bharath Party,12,22,3,7,5,7,0,Goa-Marcaim,Marcaim
6,Premanand Gaude,Revolutionary Goans Party,750,619,443,482,375,628,150,Goa-Marcaim,Marcaim
7,Santosh Tari,Goencho Swabhiman Party,19,37,16,54,23,31,5,Goa-Marcaim,Marcaim
8,Umesh Tendolkar,Aam Aadmi Party,45,26,121,51,114,46,6,Goa-Marcaim,Marcaim
9,NOTA,None of the Above,59,41,77,56,72,56,6,Goa-Marcaim,Marcaim
