O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,Dharmesh Saglani,Indian National Congress,2094,1920,1232,1352,1604,1600,1373,239,Goa-Sanquelim,Sanquelim
2,Dr. Pramod Sawant,Bharatiya Janata Party,1648,2049,1915,1571,1467,1265,1646,234,Goa-Sanquelim,Sanquelim
3,Mahadev Yeshwant Khandekar,Maharashtrawadi Gomantak,24,25,206,39,20,25,18,4,Goa-Sanquelim,Sanquelim
4,Manojkumar Ghadi,Aam Aadmi Party,15,21,21,11,10,14,9,7,Goa-Sanquelim,Sanquelim
5,Navanath Ramkrishna Mulvi,Jai Maha Bharath Party,1,2,2,2,0,4,3,0,Goa-Sanquelim,Sanquelim
6,Sagar Dhargalkar,Shiv Sena,1,2,8,45,22,4,15,0,Goa-Sanquelim,Sanquelim
7,Sujay Gauns,Revolutionary Goans Party,84,100,119,86,100,84,135,32,Goa-Sanquelim,Sanquelim
8,Daudkhan Pathan,Independent,5,19,2,0,3,2,0,0,Goa-Sanquelim,Sanquelim
9,Lavu Gurunath Petkar,Independent,7,2,4,5,4,2,1,0,Goa-Sanquelim,Sanquelim
10,Mahesh Parab,Independent,4,14,4,1,1,2,3,1,Goa-Sanquelim,Sanquelim
11,Sunil Suresh Fulari,Independent,6,5,3,3,2,4,4,0,Goa-Sanquelim,Sanquelim
12,Sunil Datta Satodkar,Independent,9,10,14,9,21,11,19,3,Goa-Sanquelim,Sanquelim
13,NOTA,None of the Above,50,55,30,30,46,33,34,6,Goa-Sanquelim,Sanquelim
