O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Ganesh Gaonkar,Bharatiya Janata Party,1506,984,1806,2275,1773,1574,1539,Goa-Sanvordem,Sanvordem
2,Khemalo Sawant,Indian National Congress,21,57,59,53,64,71,51,Goa-Sanvordem,Sanvordem
3,Vinayak Gawas,Maharashtrawadi Gomantak,451,1573,430,411,469,305,79,Goa-Sanvordem,Sanvordem
4,Anil Gaonkar,Aam Aadmi Party,75,88,65,121,157,126,207,Goa-Sanvordem,Sanvordem
5,Vipin Naik,Revolutionary Goans Party,234,220,539,330,314,248,233,Goa-Sanvordem,Sanvordem
6,Deepak Prabhu Pauskar,Independent,757,332,753,1066,987,1794,777,Goa-Sanvordem,Sanvordem
7,Gangaram Lambor,Independent,40,31,20,118,277,10,45,Goa-Sanvordem,Sanvordem
8,NOTA,None of the Above,28,29,53,47,51,36,33,Goa-Sanvordem,Sanvordem
