O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,BENJAMIN SILVA,All India Trinamool Congress,576,560,524,514,513,934,255,163,Goa-Velim,Velim
2,D'SILVA SAVIO,Indian National Congress,1140,607,669,698,621,751,379,202,Goa-Velim,Velim
3,FILIPE NERY RODRIGUES,Nationalist Congress Party,487,456,528,421,549,531,203,121,Goa-Velim,Velim
4,SAVIO RODRIGUES,Bharatiya Janata Party,108,104,107,59,203,345,373,13,Goa-Velim,Velim
5,CRUZ SILVA,Aam Aadmi Party,539,811,973,806,854,876,248,172,Goa-Velim,Velim
6,DAGLEY FERNANDES,Revolutionary Goans Party,514,437,529,522,565,649,298,90,Goa-Velim,Velim
7,NOTA,None of the Above,28,49,24,21,30,56,28,3,Goa-Velim,Velim
