O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,state_city,constituency_from_link
1,AJGAONKAR MANOHAR (BABU),Bharatiya Janata Party,885,1289,937,762,1057,855,Goa-Margao,Margao
2,DIGAMBAR KAMAT,Indian National Congress,2888,2262,2150,2422,1886,1737,Goa-Margao,Margao
3,MAHESH AMONKAR,All India Trinamool Congress,98,109,243,344,64,56,Goa-Margao,Margao
4,LINCOLN ANTHONY VAZ,Aam Aadmi Party,140,196,296,169,222,121,Goa-Margao,Margao
5,SHASHIRAJ SUBHA NAIK SHIRODKAR,Revolutionary Goans Party,74,155,174,94,114,99,Goa-Margao,Margao
6,NOTA,None of the Above,53,56,28,32,47,42,Goa-Margao,Margao
