O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,Deshraj,Bahujan Samaj Party,20,32,36,48,56,41,108,43,48,20,8,0,Uttarakhand-Vikasnagar,Vikasnagar
2,Nav Prabhat,Indian National Congress,3159,3315,3787,2339,3795,2213,2616,3826,4526,4332,1099,217,Uttarakhand-Vikasnagar,Vikasnagar
3,Munna Singh Chauhan,Bharatiya Janata Party,3238,3417,3651,3790,3454,4234,4729,3694,4432,4874,474,396,Uttarakhand-Vikasnagar,Vikasnagar
4,Praveen Bansal,Aam Aadmi Party,126,92,129,130,94,92,283,218,235,436,14,7,Uttarakhand-Vikasnagar,Vikasnagar
5,Priti Thapliyal,Uttarakhand Kranti Dal,11,5,20,33,7,13,17,11,8,14,5,1,Uttarakhand-Vikasnagar,Vikasnagar
6,Raghuveer Singh Mehta,Samajwadi Party,5,7,3,7,23,7,15,7,15,14,0,0,Uttarakhand-Vikasnagar,Vikasnagar
7,Gurumel Singh Rathod,Independent,47,14,122,24,42,569,139,39,122,80,122,1,Uttarakhand-Vikasnagar,Vikasnagar
8,Bhupendra Kumar Tomar,Independent,5,15,6,5,17,31,10,7,12,22,4,0,Uttarakhand-Vikasnagar,Vikasnagar
9,Sandeep Duby,Independent,25,42,45,19,40,22,51,27,41,57,4,0,Uttarakhand-Vikasnagar,Vikasnagar
10,Swaraj Singh,Independent,28,39,52,28,13,12,28,20,27,41,8,0,Uttarakhand-Vikasnagar,Vikasnagar
11,NOTA,None of the Above,23,39,26,45,29,26,41,55,52,40,4,3,Uttarakhand-Vikasnagar,Vikasnagar
