O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Mantri Prasad Naithani,Indian National Congress,1985,936,970,1295,1519,991,1636,1653,725,1010,492,Uttarakhand-Deoprayag,Deoprayag
2,Vinod Kandari,Bharatiya Janata Party,1727,1202,1148,1184,1415,2318,1796,2338,1573,1050,824,Uttarakhand-Deoprayag,Deoprayag
3,Uttam Singh,Aam Aadmi Party,93,74,53,106,59,108,94,190,160,96,35,Uttarakhand-Deoprayag,Deoprayag
4,Diwakar Bhatt,Uttarakhand Kranti Dal,1191,1272,1306,1231,1242,1161,1725,2014,1596,1059,656,Uttarakhand-Deoprayag,Deoprayag
5,Bijendra Lal,Bahujan Mukti Party,56,95,53,99,58,57,144,57,50,52,27,Uttarakhand-Deoprayag,Deoprayag
6,NOTA,None of the Above,82,37,26,48,23,35,63,61,39,48,18,Uttarakhand-Deoprayag,Deoprayag
