O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,ASHOK KUMAR,Bahujan Samaj Party,11,27,17,21,26,26,27,36,37,83,17,15,8,Uttarakhand-Almora,Almora
2,KAILASH SHARMA,Bharatiya Janata Party,1077,1694,1939,1203,1413,1679,1664,1968,2587,2564,1799,1616,2326,Uttarakhand-Almora,Almora
3,MANOJ TEWARI,Indian National Congress,878,1382,1519,1663,1436,1598,1579,1844,1950,2817,2127,2741,1968,Uttarakhand-Almora,Almora
4,AMIT JOSHI,Aam Aadmi Party,66,60,59,76,61,66,89,122,133,209,248,205,236,Uttarakhand-Almora,Almora
5,ARJUN SINGH BHAKUNI,Samajwadi Party,12,9,13,4,7,6,13,10,12,10,5,1,7,Uttarakhand-Almora,Almora
6,GOPAL RAM,UTTARAKHAND PARIVARTAN PARTY,4,5,26,4,7,3,5,11,9,12,10,20,16,Uttarakhand-Almora,Almora
7,BHANU PRAKASH JOSHI,Uttarakhand Kranti Dal,31,62,27,28,30,104,27,37,55,42,20,20,19,Uttarakhand-Almora,Almora
8,VINAY KIROLA,Independent,165,93,78,87,58,319,123,100,352,302,106,68,58,Uttarakhand-Almora,Almora
9,VINOD CHANDRA TIWARI,Independent,23,37,35,21,29,71,22,31,56,45,13,3,12,Uttarakhand-Almora,Almora
10,NOTA,None of the Above,15,25,24,23,22,33,28,25,39,57,26,28,44,Uttarakhand-Almora,Almora
