O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,Kedar Singh,Bharatiya Janata Party,510,554,582,293,314,412,485,497,579,797,437,375,903,717,1256,507,641,328,Uttarakhand-Yamunotri,Yamunotri
2,Jagaveer Singh,Bahujan Samaj Party,18,20,19,6,31,10,18,15,18,22,21,23,20,27,13,11,25,8,Uttarakhand-Yamunotri,Yamunotri
3,Deepak Bijalwan,Indian National Congress,858,889,704,870,1054,1024,1227,1310,1090,1242,983,1319,1027,780,541,353,600,167,Uttarakhand-Yamunotri,Yamunotri
4,Manoj Kohli Shyam,Aam Aadmi Party,38,31,14,11,23,13,29,202,46,41,28,16,21,19,7,5,11,4,Uttarakhand-Yamunotri,Yamunotri
5,Ramesh Chand Ramola,Uttarakhand Kranti Dal,3,15,15,12,7,6,8,45,39,34,10,14,13,5,8,4,11,7,Uttarakhand-Yamunotri,Yamunotri
6,Vipin,Satya Bahumat Party,5,7,8,5,10,7,8,15,11,11,9,11,14,8,67,12,7,1,Uttarakhand-Yamunotri,Yamunotri
7,Vishal Singh,Rashtriya Uttarakhand Party,16,17,20,11,23,10,20,19,16,22,20,20,14,24,9,11,19,3,Uttarakhand-Yamunotri,Yamunotri
8,Sanjay Dobhal,Independent,802,1278,1313,934,1050,908,1011,1436,1247,1443,989,1453,1474,1854,979,844,2318,1077,Uttarakhand-Yamunotri,Yamunotri
9,NOTA,None of the Above,22,19,23,17,29,14,26,33,44,43,23,37,42,50,36,28,52,20,Uttarakhand-Yamunotri,Yamunotri
