O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,DAN SINGH BHANDARI,Indian National Congress,1138,1790,1768,940,788,1904,1549,980,1384,1654,1607,Uttarakhand-Bhimtal,Bhimtal
2,BHUWAN CHANDRA ARYA,Bahujan Samaj Party,139,46,35,34,25,97,92,144,147,111,86,Uttarakhand-Bhimtal,Bhimtal
3,RAM SINGH KAIRA,Bharatiya Janata Party,2206,2576,2106,1945,1786,2893,2197,1579,2025,2625,3366,Uttarakhand-Bhimtal,Bhimtal
4,VIKRAM SINGH,Samajwadi Party,60,49,67,63,47,66,42,40,50,24,37,Uttarakhand-Bhimtal,Bhimtal
5,SANJAY KUMAR PANDEY,Aam Aadmi Party,323,25,14,28,19,67,68,40,91,136,49,Uttarakhand-Bhimtal,Bhimtal
6,HARISH CHANDRA JOSHI,Uttarakhand Kranti Dal,305,164,143,88,17,198,208,65,169,315,117,Uttarakhand-Bhimtal,Bhimtal
7,PRAKASH CHANDRA,Independent,164,156,106,516,97,236,81,79,89,61,73,Uttarakhand-Bhimtal,Bhimtal
8,MANOJ SAH,Independent,590,233,320,382,479,610,573,963,649,291,154,Uttarakhand-Bhimtal,Bhimtal
9,LAKHAN SINGH NEGI,Independent,950,782,454,369,481,1506,1891,1879,2463,678,992,Uttarakhand-Bhimtal,Bhimtal
10,SURESH CHANDER ARYA,Independent,37,43,37,26,18,52,44,43,47,21,31,Uttarakhand-Bhimtal,Bhimtal
11,NOTA,None of the Above,64,102,95,45,60,100,77,45,68,62,79,Uttarakhand-Bhimtal,Bhimtal
