O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,MANOJ RAWAT,Indian National Congress,509,741,694,990,1228,779,1538,720,1354,935,1108,1048,361,Uttarakhand-Kedarnath,Kedarnath
2,RAJARAM,Communist Party of India (Marxist),40,26,91,172,73,38,42,31,57,41,26,37,5,Uttarakhand-Kedarnath,Kedarnath
3,SHAILA RANI RAWAT,Bharatiya Janata Party,1586,1869,1218,1668,1807,1637,1805,1442,1839,1610,1649,1817,731,Uttarakhand-Kedarnath,Kedarnath
4,SHYAM LAL CHANDRAVAL,Bahujan Samaj Party,30,46,38,47,50,51,44,41,54,56,51,55,10,Uttarakhand-Kedarnath,Kedarnath
5,GAJPAL SINGH RAWAT,Uttarakhand Kranti Dal,56,67,36,47,85,98,60,46,70,69,45,41,15,Uttarakhand-Kedarnath,Kedarnath
6,BADRISH,Samajwadi Party,16,11,10,23,78,12,14,12,24,8,6,15,6,Uttarakhand-Kedarnath,Kedarnath
7,MANOJ KUMAR TINSOLA,Peoples Party of India (Democratic),15,18,8,38,36,16,15,23,33,17,32,11,2,Uttarakhand-Kedarnath,Kedarnath
8,SUMANT,Aam Aadmi Party,305,173,244,509,1072,322,352,428,561,258,143,174,26,Uttarakhand-Kedarnath,Kedarnath
9,KULDEEP SINGH,Independent,36,69,52,87,56,73,64,45,70,64,62,64,15,Uttarakhand-Kedarnath,Kedarnath
10,KULDEEP SINGH RAWAT,Independent,985,1133,995,1543,870,1037,1175,658,1117,865,1221,1221,314,Uttarakhand-Kedarnath,Kedarnath
11,DEVESH NAUTIYAL,Independent,132,124,80,393,236,122,126,57,438,764,161,274,101,Uttarakhand-Kedarnath,Kedarnath
12,REKHA DEVI,Independent,50,60,25,60,69,39,62,50,69,51,33,102,21,Uttarakhand-Kedarnath,Kedarnath
13,SURAJ SINGH,Independent,15,29,14,34,22,17,23,22,38,19,76,39,8,Uttarakhand-Kedarnath,Kedarnath
14,NOTA,None of the Above,49,54,45,78,93,47,68,36,59,45,50,86,25,Uttarakhand-Kedarnath,Kedarnath
