O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,KHUSHAL SINGH ADHIKARI,Indian National Congress,1816,1430,2268,2404,2219,1772,1689,2352,2652,2556,2570,2289,1979,1274,2549,425,28,Uttarakhand-Lohaghat,Lohaghat
2,PURAN SINGH FARTYAL,Bharatiya Janata Party,1606,1176,1594,1304,1324,1647,1384,1764,1658,1819,3252,2109,1703,1406,2073,307,59,Uttarakhand-Lohaghat,Lohaghat
3,NISAR KHAN,Samajwadi Party,27,14,20,25,17,16,15,21,22,20,29,24,21,29,41,12,3,Uttarakhand-Lohaghat,Lohaghat
4,RAJESH SINGH BISHT,Aam Aadmi Party,22,17,68,70,214,23,24,64,60,59,57,60,31,24,72,19,0,Uttarakhand-Lohaghat,Lohaghat
5,DHEERAJ SINGH LADWAL,Independent,35,1,17,8,9,6,6,7,3,6,5,8,8,6,9,0,0,Uttarakhand-Lohaghat,Lohaghat
6,PRAKASH SINGH DHAMI,Independent,6,9,12,3,9,8,6,14,12,9,9,19,26,13,16,5,0,Uttarakhand-Lohaghat,Lohaghat
7,HIMESH CHANDRA KALKHURIYA,Independent,78,110,63,51,63,321,34,59,55,74,85,49,48,37,88,5,3,Uttarakhand-Lohaghat,Lohaghat
8,NOTA,None of the Above,53,39,88,71,75,62,60,86,82,85,69,81,78,61,97,9,0,Uttarakhand-Lohaghat,Lohaghat
