O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,Arvind Pandey,Bharatiya Janata Party,5561,6475,5651,6153,3305,4743,3948,4132,4096,2348,3817,2406,Uttarakhand-Gadarpur,Gadarpur
2,Jasvant Singh,Bahujan Samaj Party,77,48,145,123,58,115,78,127,98,209,156,53,Uttarakhand-Gadarpur,Gadarpur
3,Premanand Mahajan,Indian National Congress,3642,4349,4019,3827,5136,3614,4836,4152,4091,4175,4113,5450,Uttarakhand-Gadarpur,Gadarpur
4,Jarnail Singh Kali,Aam Aadmi Party,128,82,277,107,111,161,146,118,191,161,161,107,Uttarakhand-Gadarpur,Gadarpur
5,Lal Bahadur Yadav,Nyaydharmsabha,29,23,25,38,12,19,21,20,32,14,29,31,Uttarakhand-Gadarpur,Gadarpur
6,Shaheroom,Samajwadi Party,17,16,17,16,40,19,51,15,18,30,29,80,Uttarakhand-Gadarpur,Gadarpur
7,NOTA,None of the Above,86,59,51,77,46,58,59,67,57,43,59,37,Uttarakhand-Gadarpur,Gadarpur
