O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,state_city,constituency_from_link
1,FURKAN AHMAD,Indian National Congress,1516,1993,1761,2350,3550,1817,796,2133,2437,2911,3241,1120,2839,1681,2546,3870,1018,695,379,3247,1373,Uttarakhand-Pirankaliyar,Pirankaliyar
2,MUNISH KUMAR SAINI,Bharatiya Janata Party,2251,1620,1167,418,344,2467,2285,1283,974,846,687,1570,1496,865,176,272,1668,2647,3379,1062,61,Uttarakhand-Pirankaliyar,Pirankaliyar
3,SURENDRA SINGH,Bahujan Samaj Party,1105,511,658,105,321,529,953,606,372,199,919,1703,763,1295,219,8,979,231,87,64,35,Uttarakhand-Pirankaliyar,Pirankaliyar
4,AJAY KUMAR,Peoples Party of India (Democratic),6,6,7,9,5,9,5,8,14,7,13,25,5,6,7,9,29,4,0,13,4,Uttarakhand-Pirankaliyar,Pirankaliyar
5,ABDUL WAHID,Aazad Samaj Party (Kanshi Ram),192,251,387,432,764,200,232,338,1497,1175,730,315,236,527,1667,1129,137,36,10,594,578,Uttarakhand-Pirankaliyar,Pirankaliyar
6,SHAHBAN,Samajwadi Party,45,3,3,10,5,11,3,9,12,5,5,7,8,5,18,12,2,4,1,13,5,Uttarakhand-Pirankaliyar,Pirankaliyar
7,SHEELA RAI,Nyaydharmsabha,4,9,4,4,4,11,6,4,9,11,6,5,6,7,10,7,8,3,4,17,7,Uttarakhand-Pirankaliyar,Pirankaliyar
8,SADAB ALAM,Aam Aadmi Party,92,100,110,286,167,234,94,128,88,57,57,98,159,63,56,38,187,101,82,165,45,Uttarakhand-Pirankaliyar,Pirankaliyar
9,MD SHAHJAD,Independent,17,25,28,28,21,10,20,33,63,36,35,18,17,28,41,18,13,4,1,31,33,Uttarakhand-Pirankaliyar,Pirankaliyar
10,SHAHJAHAN,Independent,13,11,6,10,4,5,5,5,9,7,12,7,13,7,8,11,8,0,1,11,5,Uttarakhand-Pirankaliyar,Pirankaliyar
11,NOTA,None of the Above,22,25,15,25,23,27,17,18,20,21,17,24,30,16,21,25,26,22,30,34,9,Uttarakhand-Pirankaliyar,Pirankaliyar
