O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,PRADEEP SINGH PAL,Indian National Congress,1206,1668,1220,2299,1013,1565,1001,1081,767,1628,45,228,177,Uttarakhand-Didihat,Didihat
2,VISHAN SINGH,Bharatiya Janata Party,1799,2043,2578,1449,1608,1191,1953,2016,2013,2488,112,143,115,Uttarakhand-Didihat,Didihat
3,GOVIND SINGH,Uttarakhand Kranti Dal,50,60,153,48,56,44,82,36,50,36,3,5,8,Uttarakhand-Didihat,Didihat
4,DIWAN SINGH MEHTA,Aam Aadmi Party,21,28,25,16,75,24,25,20,23,29,0,3,2,Uttarakhand-Didihat,Didihat
5,SURENDRA SINGH GURUNG,Samajwadi Party,13,21,23,13,17,9,13,7,32,15,0,0,0,Uttarakhand-Didihat,Didihat
6,ANIL SINGH,Independent,43,40,27,27,23,28,22,32,30,32,3,1,3,Uttarakhand-Didihat,Didihat
7,KISHAN BHANDARI,Independent,1711,1433,1496,1645,1990,2128,1805,1589,1462,1291,49,147,240,Uttarakhand-Didihat,Didihat
8,NOTA,None of the Above,83,91,113,80,84,84,66,59,64,88,2,3,6,Uttarakhand-Didihat,Didihat
