O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Vikram Singh Negi,Indian National Congress,1698,2010,1644,1334,1709,1911,1623,2466,1856,1888,645,Uttarakhand-Pratapnagar,Pratapnagar
2,Vijay Singh Panwar,Bharatiya Janata Party,1783,1625,1527,1089,1204,1540,1625,1723,1710,1869,656,Uttarakhand-Pratapnagar,Pratapnagar
3,Sagar Singh Bhandari,Aam Aadmi Party,90,72,75,61,50,144,244,49,36,39,22,Uttarakhand-Pratapnagar,Pratapnagar
4,Jaipal Singh,Independent,33,24,21,20,27,13,5,17,25,66,8,Uttarakhand-Pratapnagar,Pratapnagar
5,Narayan Singh,Independent,29,21,18,17,66,14,6,16,13,8,2,Uttarakhand-Pratapnagar,Pratapnagar
6,Pankaj Vyas,Independent,655,566,667,1022,876,367,94,136,174,164,65,Uttarakhand-Pratapnagar,Pratapnagar
7,NOTA,None of the Above,122,86,81,74,76,59,22,56,61,39,11,Uttarakhand-Pratapnagar,Pratapnagar
