O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,Pritam Singh,Indian National Congress,3359,2628,2554,2884,2325,2407,2233,1622,2320,1963,1816,2153,1910,1526,2239,1201,791,Uttarakhand-Chakrata,Chakrata
2,Bheem Dutt,Bahujan Samaj Party,29,24,21,25,23,30,21,18,17,49,19,18,27,17,26,11,9,Uttarakhand-Chakrata,Chakrata
3,Ram Sharan Nautiyal,Bharatiya Janata Party,1554,1044,819,2246,1835,2002,1496,1208,1688,1541,1517,1464,2010,1875,1749,2073,781,Uttarakhand-Chakrata,Chakrata
4,Darshan Dobhal,Aam Aadmi Party,21,8,20,30,28,34,107,41,21,16,30,29,27,21,19,16,9,Uttarakhand-Chakrata,Chakrata
5,Ramanand Singh,Uttarakhand Kranti Dal,10,6,2,15,8,11,9,6,8,5,13,9,14,7,5,1,3,Uttarakhand-Chakrata,Chakrata
6,Kamlesh Bhatt,Independent,47,31,9,40,109,175,71,130,179,215,283,242,488,419,536,382,82,Uttarakhand-Chakrata,Chakrata
7,Kuldeep Singh Chauhan,Independent,6,3,2,4,12,27,28,54,13,11,50,11,64,22,21,15,12,Uttarakhand-Chakrata,Chakrata
8,Gajendra Dutt,Independent,3,6,7,12,54,28,22,7,24,37,39,502,40,45,85,11,16,Uttarakhand-Chakrata,Chakrata
9,Daulat Kunvar,Independent,21,12,15,34,94,81,73,73,125,70,44,96,50,88,28,25,9,Uttarakhand-Chakrata,Chakrata
10,Manbir Singh Chauhan,Independent,21,6,6,12,28,20,11,14,14,9,16,13,28,8,10,2,0,Uttarakhand-Chakrata,Chakrata
11,NOTA,None of the Above,46,41,42,50,159,130,88,186,72,64,122,99,57,106,54,36,15,Uttarakhand-Chakrata,Chakrata
