O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Budhi Lal,Bahujan Samaj Party,14,4,30,16,29,14,24,32,50,34,17,11,22,40,30,Uttarakhand-Gangotri,Gangotri
2,Mahavir Prasad,Communist Party of India,6,15,18,13,27,26,25,39,29,25,24,21,15,42,36,Uttarakhand-Gangotri,Gangotri
3,Vijaypal Singh Sajwan,Indian National Congress,1071,1274,1021,816,1478,1295,1430,1720,2330,1740,1590,1196,1334,1734,1011,Uttarakhand-Gangotri,Gangotri
4,Suresh Singh Chauhan,Bharatiya Janata Party,1242,1528,2112,1754,2542,1976,2081,2941,2194,1961,1375,1942,1498,1889,1642,Uttarakhand-Gangotri,Gangotri
5,Ajay Kothiyal,Aam Aadmi Party,178,307,263,318,683,379,485,425,550,752,350,246,189,443,430,Uttarakhand-Gangotri,Gangotri
6,Jasveer Singh,Uttarakhand Kranti Dal,3,6,12,12,33,19,24,18,24,37,9,12,16,16,107,Uttarakhand-Gangotri,Gangotri
7,Babu Lal Ghoghiyal,Jai Maha Bharath Party,10,8,10,10,37,18,18,22,10,22,10,16,18,39,23,Uttarakhand-Gangotri,Gangotri
8,Vijay Bahuguna,Samajwadi Party,5,8,8,7,21,8,10,13,2,14,19,7,13,22,13,Uttarakhand-Gangotri,Gangotri
9,Navneet Uniyal,Independent,3,7,4,1,12,18,20,17,16,11,17,14,125,178,15,Uttarakhand-Gangotri,Gangotri
10,NOTA,None of the Above,10,6,9,3,23,12,18,18,32,17,10,13,17,24,26,Uttarakhand-Gangotri,Gangotri
