O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,Aditya Brajwal,Bahujan Samaj Party,1578,1786,1459,1545,919,2728,1005,1201,1918,2181,1363,37,Uttarakhand-Jhabrera,Jhabrera
2,Rajpal Singh,Bharatiya Janata Party,1933,2305,2239,2232,3869,2886,3385,2053,2409,3656,3964,277,Uttarakhand-Jhabrera,Jhabrera
3,Virendra Kumar,Indian National Congress,3226,3333,4377,4643,4301,3639,3830,3840,2443,2211,3272,255,Uttarakhand-Jhabrera,Jhabrera
4,Komal,Samajwadi Party,17,53,36,40,25,22,31,21,17,21,24,2,Uttarakhand-Jhabrera,Jhabrera
5,Jitendra Kumar,Aazad Samaj Party (Kanshi Ram),358,754,140,213,63,233,645,573,676,623,361,3,Uttarakhand-Jhabrera,Jhabrera
6,Rajoo Singh,Aam Aadmi Party,48,42,36,34,66,15,21,33,20,55,28,1,Uttarakhand-Jhabrera,Jhabrera
7,Shalabh Kumar,Rashtriya Lok Dal,8,16,13,7,5,6,10,5,17,10,14,0,Uttarakhand-Jhabrera,Jhabrera
8,Pratibha,Independent,6,12,14,7,2,7,10,13,10,7,5,1,Uttarakhand-Jhabrera,Jhabrera
9,Mampal,Independent,11,19,31,19,7,18,31,19,13,22,10,0,Uttarakhand-Jhabrera,Jhabrera
10,Sunil Kumar,Independent,14,24,19,40,7,18,24,22,49,13,14,0,Uttarakhand-Jhabrera,Jhabrera
11,Sulochana,Independent,9,13,12,10,6,11,11,11,15,23,9,0,Uttarakhand-Jhabrera,Jhabrera
12,NOTA,None of the Above,23,35,51,34,31,59,26,27,27,39,29,2,Uttarakhand-Jhabrera,Jhabrera
