O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,CHARAN SINGH,Bahujan Samaj Party,21,34,33,48,186,51,17,28,377,312,10,78,35,5,Uttarakhand-Hardwar,Hardwar
2,MADAN KAUSHIK,Bharatiya Janata Party,3733,3186,3068,3257,4223,4244,4731,4546,3251,3461,4457,5287,4596,720,Uttarakhand-Hardwar,Hardwar
3,SATPAL BRAHAMCHARI,Indian National Congress,2794,4284,3118,3192,2666,2505,2490,2045,2881,3350,2661,1867,2682,983,Uttarakhand-Hardwar,Hardwar
4,AJAY KUMAR GUPTA,Rashtravadi Vikas Party,13,20,13,22,22,15,12,10,18,28,11,11,17,4,Uttarakhand-Hardwar,Hardwar
5,ANURAG SHARMA,Nyaydharmsabha,6,5,6,5,10,9,11,6,9,13,7,9,9,2,Uttarakhand-Hardwar,Hardwar
6,ADESH KUMAR MARWARI,Uttarakhand Kranti Dal,13,8,22,7,21,15,9,9,7,11,4,9,19,1,Uttarakhand-Hardwar,Hardwar
7,SANJAY SAINI,Aam Aadmi Party,89,94,106,132,178,138,151,185,194,261,159,192,235,12,Uttarakhand-Hardwar,Hardwar
8,SARITA AGARWAL,Samajwadi Party,23,30,29,20,13,15,22,9,15,21,11,7,15,7,Uttarakhand-Hardwar,Hardwar
9,MOHD AAZAM,Independent,14,9,14,5,8,9,11,3,19,14,3,3,10,3,Uttarakhand-Hardwar,Hardwar
10,NOTA,None of the Above,38,33,28,44,47,51,40,58,41,46,32,50,34,3,Uttarakhand-Hardwar,Hardwar
