O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,Rajkamal Sonkar,Bahujan Samaj Party,57,97,73,96,73,77,50,38,92,47,59,59,Uttarakhand-Nainital,Nainital
2,Sarita Arya,Bharatiya Janata Party,2552,2052,3135,2849,2551,2765,2485,1720,3043,2758,3297,2236,Uttarakhand-Nainital,Nainital
3,Sanjeev Arya,Indian National Congress,1847,1445,1657,1657,1813,2631,2528,2214,2539,2210,1332,1652,Uttarakhand-Nainital,Nainital
4,Om Prakash,Uttarakhand Kranti Dal,65,62,72,66,74,48,50,40,53,181,135,51,Uttarakhand-Nainital,Nainital
5,Hem Chandra Arya,Aam Aadmi Party,219,240,215,301,170,371,222,172,328,236,115,169,Uttarakhand-Nainital,Nainital
6,NOTA,None of the Above,55,30,36,64,78,76,76,56,64,51,42,61,Uttarakhand-Nainital,Nainital
