O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,state_city,constituency_from_link
1,Mamta Rakesh,Indian National Congress,3470,2271,2541,1803,1221,2612,1853,1519,2295,2024,2338,2234,2525,2429,2954,1884,1899,1392,1506,1242,1213,1441,Uttarakhand-Bhagwanpur,Bhagwanpur
2,Satyapal Singh,Bharatiya Janata Party,494,583,522,737,846,721,949,701,426,505,546,585,100,101,210,468,432,731,546,306,952,537,Uttarakhand-Bhagwanpur,Bhagwanpur
3,Subodh Rakesh,Bahujan Samaj Party,1595,2330,1301,1811,1995,1712,1469,2005,1688,2021,1939,1752,1576,1537,1418,1763,2069,1655,1893,2468,1865,1996,Uttarakhand-Bhagwanpur,Bhagwanpur
4,Amrish Kumar,Aazad Samaj Party (Kanshi Ram),29,19,33,38,91,36,20,32,15,18,29,114,35,39,13,25,16,17,19,86,17,18,Uttarakhand-Bhagwanpur,Bhagwanpur
5,Prem Singh,Aam Aadmi Party,29,28,21,23,34,40,59,28,36,35,26,22,20,37,19,41,15,22,46,28,27,40,Uttarakhand-Bhagwanpur,Bhagwanpur
6,Sher Singh,Independent,9,5,5,2,4,6,5,6,4,5,6,11,4,1,4,7,7,2,7,4,7,6,Uttarakhand-Bhagwanpur,Bhagwanpur
7,NOTA,None of the Above,33,10,13,19,9,14,20,15,12,29,12,23,16,18,15,13,10,28,13,8,9,14,Uttarakhand-Bhagwanpur,Bhagwanpur
