O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,Gagan Singh Kamboj,Bahujan Samaj Party,1504,485,617,632,523,474,406,541,608,669,819,2065,1241,2093,1160,403,Uttarakhand-Kashipur,Kashipur
2,Trilok Singh Cheema,Bharatiya Janata Party,3242,4607,3449,3366,2992,3717,3386,2646,1808,3974,2919,2361,3938,3099,2452,159,Uttarakhand-Kashipur,Kashipur
3,Narendra Chand Singh,Indian National Congress,1484,1374,2759,2303,2640,2231,1669,3833,5008,1315,2466,2533,876,499,783,50,Uttarakhand-Kashipur,Kashipur
4,Deepak Bali,Aam Aadmi Party,1111,1017,966,1079,1146,1209,971,1159,1081,1068,1045,1087,909,699,1312,85,Uttarakhand-Kashipur,Kashipur
5,Baljinder Singh,Samajwadi Party,14,8,12,11,14,26,22,14,21,12,31,29,11,12,25,1,Uttarakhand-Kashipur,Kashipur
6,Manoj Kumar Dobariyal,Uttarakhand Kranti Dal,112,283,76,56,24,14,13,20,33,17,30,21,64,15,63,4,Uttarakhand-Kashipur,Kashipur
7,Shameem Jahan,Rashtriya Lok Dal,23,11,12,7,17,5,14,15,23,8,24,17,13,13,23,5,Uttarakhand-Kashipur,Kashipur
8,Ashok Kumar,Independent,15,16,13,7,8,5,8,14,6,9,21,25,11,13,19,3,Uttarakhand-Kashipur,Kashipur
9,NOTA,None of the Above,59,44,41,48,49,40,34,38,48,37,50,53,59,55,53,9,Uttarakhand-Kashipur,Kashipur
