O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,LAXMI DEVI,Samajwadi Party,23,35,59,45,29,29,41,21,27,26,49,44,20,12,Uttarakhand-Bageshwar,Bageshwar
2,BALKRISHNA,Independent,67,43,60,181,62,67,457,66,93,55,41,63,180,38,Uttarakhand-Bageshwar,Bageshwar
3,DINESH RAM,Independent,47,59,75,76,41,51,97,29,43,63,85,73,35,17,Uttarakhand-Bageshwar,Bageshwar
4,BASANT KUMAR,Aam Aadmi Party,1832,945,1555,1152,546,747,1352,687,1068,1469,1577,1489,756,593,Uttarakhand-Bageshwar,Bageshwar
5,RANJEET DAS,Indian National Congress,1704,1015,988,1623,905,1589,1811,2075,2223,864,640,892,1499,1266,Uttarakhand-Bageshwar,Bageshwar
6,CHANDAN RAM DASS,Bharatiya Janata Party,2103,2035,2329,3585,2624,2735,3001,2131,2164,1552,1991,1638,2225,832,Uttarakhand-Bageshwar,Bageshwar
7,BHARAV NATH TAMTA,Independent,34,128,135,294,400,405,195,45,44,30,51,59,35,4,Uttarakhand-Bageshwar,Bageshwar
8,OM PRAKASH,Bahujan Samaj Party,37,50,38,66,60,48,58,49,40,47,60,79,48,10,Uttarakhand-Bageshwar,Bageshwar
9,NOTA,None of the Above,60,32,68,110,72,62,86,58,55,47,49,45,66,21,Uttarakhand-Bageshwar,Bageshwar
