O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,KHAJAN CHANDRA GUDDU,Indian National Congress,1873,1580,2098,2472,1939,1650,2063,1941,1878,2388,1871,Uttarakhand-Gangolihat,Gangolihat
2,FAKEER RAM,Bharatiya Janata Party,2961,2863,3189,2613,2579,2608,3077,2834,3415,3010,2142,Uttarakhand-Gangolihat,Gangolihat
3,REKHA,Bahujan Samaj Party,41,42,49,40,43,44,64,52,65,47,33,Uttarakhand-Gangolihat,Gangolihat
4,BABITA CHANDRA,Aam Aadmi Party,45,45,55,36,37,41,40,49,41,49,68,Uttarakhand-Gangolihat,Gangolihat
5,BAL RAM,Samajwadi Party,20,22,16,21,23,13,24,40,30,32,30,Uttarakhand-Gangolihat,Gangolihat
6,HARI PRASAD,Uttarakhand Kranti Dal,75,70,110,68,72,73,105,104,125,89,97,Uttarakhand-Gangolihat,Gangolihat
7,NOTA,None of the Above,70,70,111,88,100,80,77,128,152,128,90,Uttarakhand-Gangolihat,Gangolihat
