O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,state_city,constituency_from_link
1,Navtej Pal Singh,Indian National Congress,769,710,2148,3060,4966,4520,3940,4465,3978,3651,Uttarakhand-Sitarganj,Sitarganj
2,Narayan Pal,Bahujan Samaj Party,1199,1127,940,701,911,348,1580,972,653,799,Uttarakhand-Sitarganj,Sitarganj
3,Saurabh Bahuguna,Bharatiya Janata Party,5637,5229,5665,6046,3339,3885,3090,3505,3390,3310,Uttarakhand-Sitarganj,Sitarganj
4,Ajay Jaiswal,Aam Aadmi Party,2972,3463,1810,793,252,155,284,122,150,108,Uttarakhand-Sitarganj,Sitarganj
5,Mohmmad Ali,Samajwadi Party,28,26,31,35,49,39,48,43,24,25,Uttarakhand-Sitarganj,Sitarganj
6,Raghuvir,Bharatiya Subhash Sena,63,66,64,73,16,19,56,37,30,18,Uttarakhand-Sitarganj,Sitarganj
7,Mobeen Ali,Independent,38,30,26,17,36,17,34,25,25,19,Uttarakhand-Sitarganj,Sitarganj
8,NOTA,None of the Above,43,42,53,81,49,55,47,55,63,42,Uttarakhand-Sitarganj,Sitarganj
