O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,ASHOK PANWAR,Bahujan Samaj Party,39,80,50,65,56,26,26,26,21,21,13,17,18,Uttarakhand-Mussoorie,Mussoorie
2,GANESH JOSHI,Bharatiya Janata Party,4594,4661,2916,3513,4297,3997,2352,3128,2834,3530,4153,2400,2008,Uttarakhand-Mussoorie,Mussoorie
3,GODAVARI THAPLI,Indian National Congress,2287,2427,2119,2112,2457,1834,1107,2558,2825,2667,3135,2246,1420,Uttarakhand-Mussoorie,Mussoorie
4,PREM KISHAN,Aam Aadmi Party,247,279,308,270,299,249,63,75,139,227,350,109,110,Uttarakhand-Mussoorie,Mussoorie
5,SAKUNTLA RAWAT,Uttarakhand Kranti Dal,17,35,11,13,25,19,13,8,6,18,14,10,5,Uttarakhand-Mussoorie,Mussoorie
6,SANJAY MALL,Samajwadi Party,17,15,9,13,17,39,11,19,22,12,14,7,5,Uttarakhand-Mussoorie,Mussoorie
7,MANISH GAUNIYAL,Independent,29,28,13,41,21,18,105,44,121,29,32,126,70,Uttarakhand-Mussoorie,Mussoorie
8,NOTA,None of the Above,66,80,32,59,92,68,27,38,36,55,63,42,34,Uttarakhand-Mussoorie,Mussoorie
