O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,state_city,constituency_from_link
1,Tanveer Ahamad,Bahujan Samaj Party,184,44,44,88,61,35,19,25,18,4,7,19,22,34,14,34,13,24,29,147,56,25,Uttarakhand-Roorkee,Roorkee
2,Pradeep Batra,Bharatiya Janata Party,1701,2281,2073,2199,2434,2356,2384,1757,1439,217,59,2630,1151,616,1613,2476,2166,2162,1222,2203,731,674,Uttarakhand-Roorkee,Roorkee
3,YASHPAL RANA,Indian National Congress,1247,936,944,974,1477,1408,1018,1468,1957,3354,3536,1288,2375,2663,1423,717,534,627,1029,1982,3063,384,Uttarakhand-Roorkee,Roorkee
4,GULBAHAR,Aazad Samaj Party (Kanshi Ram),161,34,8,23,60,71,11,14,81,112,171,33,58,29,20,7,1,7,131,337,447,141,Uttarakhand-Roorkee,Roorkee
5,NARESH KUMAR (PRINCE),Aam Aadmi Party,35,45,44,44,29,47,27,14,11,10,38,35,32,22,47,42,58,54,29,64,8,9,Uttarakhand-Roorkee,Roorkee
6,ROHIT TYAGI,Samajwadi Party,8,9,7,13,2,15,11,2,3,9,5,2,6,10,26,8,9,17,7,7,2,0,Uttarakhand-Roorkee,Roorkee
7,VAIDYA TEK VALLABH,Independent,3,0,1,2,4,1,1,0,5,4,3,1,3,2,0,2,5,2,4,9,4,3,Uttarakhand-Roorkee,Roorkee
8,NITIN SHARMA,Independent,30,30,32,50,29,21,43,22,20,5,2,103,22,28,36,73,28,70,18,35,16,17,Uttarakhand-Roorkee,Roorkee
9,SHRESHTHATA,Independent,0,5,2,4,1,1,3,3,5,2,1,2,3,5,2,1,3,6,3,3,5,3,Uttarakhand-Roorkee,Roorkee
10,NOTA,None of the Above,10,18,17,25,21,10,16,8,9,15,7,17,9,6,7,15,16,21,15,15,18,5,Uttarakhand-Roorkee,Roorkee
