O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,state_city,constituency_from_link
1,Pushkar Singh Dhami,Bharatiya Janata Party,3985,4876,4128,4082,2908,4059,4279,4858,4079,3421,Uttarakhand-Khatima,Khatima
2,Bhuwan Chandra Kapri,Indian National Congress,4939,3938,5180,5301,4702,5158,5648,5241,4372,3147,Uttarakhand-Khatima,Khatima
3,Ramesh Singh,Bahujan Samaj Party,38,57,158,109,78,57,97,133,71,122,Uttarakhand-Khatima,Khatima
4,Asif Miyan,All India Majlis-E-Ittehadul Muslimeen,20,10,9,2,9,8,6,8,3,5,Uttarakhand-Khatima,Khatima
5,Rajesh,Bharatiya Subhash Sena,8,6,9,5,18,29,16,8,8,12,Uttarakhand-Khatima,Khatima
6,Vijay Pal,Samajwadi Party,7,5,9,10,10,8,9,8,5,3,Uttarakhand-Khatima,Khatima
7,Sawinderjeet Singh Kaler,Aam Aadmi Party,63,73,56,54,203,73,77,77,31,42,Uttarakhand-Khatima,Khatima
8,Baburam,Independent,20,54,43,62,29,38,83,46,31,30,Uttarakhand-Khatima,Khatima
9,NOTA,None of the Above,54,78,71,61,47,63,77,73,73,56,Uttarakhand-Khatima,Khatima
