O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,GOVIND RAM,Bahujan Samaj Party,37,13,17,48,24,17,31,70,37,45,27,4,5,Uttarakhand-Dharchula,Dharchula
2,DHAN SINGH DHAMI (DHAN DA),Bharatiya Janata Party,1713,1088,1632,2825,1529,1633,2240,2812,4296,3086,1646,287,281,Uttarakhand-Dharchula,Dharchula
3,HARISH SINGH DHAMI,Indian National Congress,3244,2847,3293,2671,1757,1605,1602,1909,1745,2460,2352,546,271,Uttarakhand-Dharchula,Dharchula
4,NARAYAN RAM,Aam Aadmi Party,74,45,66,81,41,39,33,49,63,86,27,3,7,Uttarakhand-Dharchula,Dharchula
5,MANJU DEVI,Samajwadi Party,22,9,14,15,13,5,15,18,20,26,11,1,1,Uttarakhand-Dharchula,Dharchula
6,RAMESH SINGH,Uttarakhand Kranti Dal,29,25,22,40,15,15,16,34,129,42,24,3,2,Uttarakhand-Dharchula,Dharchula
7,KAILASH SINGH PANGTEY,Independent,98,37,51,115,39,13,33,58,36,60,20,5,1,Uttarakhand-Dharchula,Dharchula
8,JEEVAN SINGH THAKUR,Independent,20,16,50,99,32,21,48,127,138,156,93,0,8,Uttarakhand-Dharchula,Dharchula
9,NOTA,None of the Above,33,17,23,82,25,14,11,47,53,55,33,3,4,Uttarakhand-Dharchula,Dharchula
