O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,DHANI LAL SHAH,Indian National Congress,1370,716,1014,625,1061,977,785,1025,367,1097,1235,175,Uttarakhand-Ghanshali,Ghanshali
2,SHAKTI LAL SHAH,Bharatiya Janata Party,1837,1221,1424,1620,2068,1586,2433,1541,2488,1764,2252,282,Uttarakhand-Ghanshali,Ghanshali
3,KAMAL DAS,Uttarakhand Kranti Dal,84,125,149,450,147,124,112,86,108,120,119,18,Uttarakhand-Ghanshali,Ghanshali
4,VIJAY PRAKASH,Aam Aadmi Party,38,32,41,40,40,23,26,71,56,21,45,8,Uttarakhand-Ghanshali,Ghanshali
5,DARSHAN LAL DAS,Independent,497,305,419,431,315,151,407,426,734,472,494,66,Uttarakhand-Ghanshali,Ghanshali
6,BHEEM LAL ARYA,Independent,619,1728,912,1063,668,1216,541,552,917,409,413,53,Uttarakhand-Ghanshali,Ghanshali
7,SHOORVEER LAL,Independent,66,92,88,63,87,91,109,72,144,108,401,36,Uttarakhand-Ghanshali,Ghanshali
8,NOTA,None of the Above,63,41,62,69,83,52,73,57,52,56,113,11,Uttarakhand-Ghanshali,Ghanshali
