O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,GOPAL SINGH RANA,Indian National Congress,4853,4812,4496,3585,6226,5247,3577,5778,4220,4390,913,259,Uttarakhand-Nanak Matta,Nanak Matta
2,PREM SINGH RANA,Bharatiya Janata Party,3304,4263,2981,4477,1974,2465,4087,3348,4474,3416,491,210,Uttarakhand-Nanak Matta,Nanak Matta
3,Vijay Singh RANA,Bahujan Samaj Party,552,154,53,75,53,35,91,150,171,96,9,56,Uttarakhand-Nanak Matta,Nanak Matta
4,ANAND SINGH RANA,Aam Aadmi Party,576,301,335,357,211,111,166,323,246,321,93,11,Uttarakhand-Nanak Matta,Nanak Matta
5,JYOTI RANA,Samajwadi Party,80,34,34,39,38,39,20,36,30,25,13,1,Uttarakhand-Nanak Matta,Nanak Matta
6,MUKESH SINGH,Independent,167,190,237,333,78,68,61,144,142,186,37,6,Uttarakhand-Nanak Matta,Nanak Matta
7,NOTA,None of the Above,84,89,79,121,73,81,92,102,112,111,5,6,Uttarakhand-Nanak Matta,Nanak Matta
