O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Khursid Ahmad,Bahujan Samaj Party,60,87,43,30,34,45,33,50,50,41,32,Uttarakhand-Pithoragarh,Pithoragarh
2,Chandra Pant,Bharatiya Janata Party,2661,2655,2389,2421,2148,3372,2485,2121,2018,1986,1759,Uttarakhand-Pithoragarh,Pithoragarh
3,Mayukh Mahar,Indian National Congress,2956,3320,3170,3038,3299,3743,3916,2854,2042,1547,2187,Uttarakhand-Pithoragarh,Pithoragarh
4,(Engineer) Kartik Tamta,Aazad Samaj Party (Kanshi Ram),81,82,27,34,41,68,73,129,75,50,43,Uttarakhand-Pithoragarh,Pithoragarh
5,Chandra Prakash Punera,Aam Aadmi Party,55,40,50,99,48,204,66,36,33,26,18,Uttarakhand-Pithoragarh,Pithoragarh
6,Virendera Vir Vikram Singh,Samajwadi Party,44,107,16,22,16,49,45,30,38,48,41,Uttarakhand-Pithoragarh,Pithoragarh
7,Nitin Markana,Independent,459,448,871,725,701,910,784,374,693,173,196,Uttarakhand-Pithoragarh,Pithoragarh
8,NOTA,None of the Above,87,60,42,39,44,62,57,55,32,44,20,Uttarakhand-Pithoragarh,Pithoragarh
