O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,PRADEEP PRASAD THAPLIYAL,Indian National Congress,1999,1675,1353,1476,1663,1424,1298,1080,1083,1058,1418,1614,1372,606,Uttarakhand-Rudraprayag,Rudraprayag
2,BHARAT SINGH CHAUDHARY,Bharatiya Janata Party,2052,2191,2370,1752,2508,2035,2072,2228,2345,1936,1929,2463,1909,857,Uttarakhand-Rudraprayag,Rudraprayag
3,SUDHIR RAUTHAN,Communist Party of India,55,41,75,48,93,61,48,52,42,32,35,34,27,21,Uttarakhand-Rudraprayag,Rudraprayag
4,PYAR SINGH NEGI,Aam Aadmi Party,26,21,19,19,26,21,20,32,19,32,47,45,42,12,Uttarakhand-Rudraprayag,Rudraprayag
5,BIRENDRA PRATAP SINGH,Bahujan Mukti Party,40,36,17,25,37,14,12,37,20,15,7,28,14,9,Uttarakhand-Rudraprayag,Rudraprayag
6,MOHIT,Samajwadi Party,13,18,14,13,16,14,12,21,16,9,10,6,10,2,Uttarakhand-Rudraprayag,Rudraprayag
7,MOHIT DIMRI,Uttarakhand Kranti Dal,312,204,221,597,641,290,260,841,372,259,117,216,175,65,Uttarakhand-Rudraprayag,Rudraprayag
8,LAXMAN SINGH,Nyaydharmsabha,9,10,51,14,18,16,17,17,14,1,4,13,5,1,Uttarakhand-Rudraprayag,Rudraprayag
9,BHAGWATI PRASAD,Independent,10,8,10,7,8,4,6,7,14,5,1,5,19,4,Uttarakhand-Rudraprayag,Rudraprayag
10,MAHABIR SINGH JAGWAN,Independent,17,28,26,20,31,34,19,22,17,11,6,151,11,8,Uttarakhand-Rudraprayag,Rudraprayag
11,MATBAR SINGH KANDARI,Independent,210,157,412,188,471,413,519,170,473,491,182,286,564,237,Uttarakhand-Rudraprayag,Rudraprayag
12,SUDHIR NEGI,Independent,76,80,76,69,96,80,95,84,102,72,263,41,56,26,Uttarakhand-Rudraprayag,Rudraprayag
13,NOTA,None of the Above,57,67,75,61,104,73,63,61,59,49,50,65,52,25,Uttarakhand-Rudraprayag,Rudraprayag
