O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,state_city,constituency_from_link
1,Er. Ravi Bahadur,Indian National Congress,2034,947,1262,1349,1975,1677,3728,3031,2919,3052,1697,2882,1152,1729,1335,745,2418,2443,1929,1883,1395,590,Uttarakhand-Jwalapur,Jwalapur
2,Shishpal Singh,Bahujan Samaj Party,210,53,821,752,483,1818,347,554,483,902,850,126,748,1049,572,678,739,797,472,952,1150,153,Uttarakhand-Jwalapur,Jwalapur
3,Suresh Rathore,Bharatiya Janata Party,1024,1694,2599,2207,1518,387,296,450,1752,742,1552,687,1901,1578,1363,1512,2039,526,1319,1127,2063,460,Uttarakhand-Jwalapur,Jwalapur
4,Goutam,Loktantrik Janshakti Party,3,3,9,4,4,7,6,7,13,12,9,2,23,13,11,15,13,5,8,18,14,5,Uttarakhand-Jwalapur,Jwalapur
5,Mamta Singh,Aam Aadmi Party,39,58,86,83,55,42,21,21,26,47,35,22,62,30,58,45,49,20,26,77,21,1,Uttarakhand-Jwalapur,Jwalapur
6,Ravindra Kumar,Nyaydharmsabha,3,3,6,7,9,2,2,10,7,6,2,4,15,6,7,13,18,6,9,12,6,2,Uttarakhand-Jwalapur,Jwalapur
7,SANATAN SONKER,Samajwadi Party,14,9,15,2,8,24,22,24,23,23,15,7,52,13,14,67,63,82,41,55,26,1,Uttarakhand-Jwalapur,Jwalapur
8,S.P.Singh Engineer,Aazad Samaj Party (Kanshi Ram),93,13,104,88,118,82,118,659,173,332,85,71,143,136,335,422,345,328,253,199,69,22,Uttarakhand-Jwalapur,Jwalapur
9,NOTA,None of the Above,9,8,18,23,19,15,17,23,24,33,12,11,27,12,32,42,56,25,20,45,17,3,Uttarakhand-Jwalapur,Jwalapur
