O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,Ubaid Ullah Khan,Bahujan Samaj Party,50,76,78,67,36,40,70,118,52,125,92,32,Uttarakhand-Kichha,Kichha
2,Tilak Raj Behar,Indian National Congress,3859,3844,3815,3066,4170,5440,3663,5406,5612,5020,2921,2227,Uttarakhand-Kichha,Kichha
3,Rajesh Shukla,Bharatiya Janata Party,3264,3566,3820,4768,4008,3423,4444,2568,2066,2707,3030,1516,Uttarakhand-Kichha,Kichha
4,Mohd. Ajam,All India Majlis-E-Ittehadul Muslimeen,32,23,24,36,36,79,81,48,35,45,27,7,Uttarakhand-Kichha,Kichha
5,Kulavanta Singh,Aam Aadmi Party,86,128,258,154,152,87,122,45,61,167,202,187,Uttarakhand-Kichha,Kichha
6,Jeewan Singh Negi,Uttarakhand Kranti Dal,9,11,36,48,8,11,8,8,4,9,26,53,Uttarakhand-Kichha,Kichha
7,Pramod Kumar Shukla,Nyaydharmsabha,12,16,12,17,18,9,8,7,10,14,13,7,Uttarakhand-Kichha,Kichha
8,Ram Naresh Dohare,Peoples Party of India (Democratic),8,15,38,21,9,4,10,8,1,6,26,9,Uttarakhand-Kichha,Kichha
9,Surendra Singh,Bhartiya Shakti Chetna Party,12,14,12,13,7,4,8,9,1,16,31,8,Uttarakhand-Kichha,Kichha
10,Ajay Kumar Tiwari,Independent,613,902,614,1397,524,149,186,191,34,331,883,335,Uttarakhand-Kichha,Kichha
11,Riyaz Ahmed,Independent,31,18,37,33,33,25,22,22,17,26,34,11,Uttarakhand-Kichha,Kichha
12,Hareram Rai,Independent,30,40,41,23,14,22,17,25,14,31,19,21,Uttarakhand-Kichha,Kichha
13,NOTA,None of the Above,37,59,53,72,57,51,43,29,27,51,40,31,Uttarakhand-Kichha,Kichha
