O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Prithvipal Singh Rawat,Bahujan Samaj Party,33,24,46,58,41,53,38,38,37,20,14,Uttarakhand-Lalkuwa,Lalkuwa
2,Dr. Mohan Singh Bisht,Bharatiya Janata Party,5372,4868,4484,3130,4913,4307,3982,4099,4483,4840,1456,Uttarakhand-Lalkuwa,Lalkuwa
3,Harish Rawat,Indian National Congress,2659,2202,2778,2868,3644,2957,2954,3045,2638,2301,529,Uttarakhand-Lalkuwa,Lalkuwa
4,Chandra Sekhar Pandey,Aam Aadmi Party,51,87,70,66,106,97,129,55,96,85,33,Uttarakhand-Lalkuwa,Lalkuwa
5,Bahadur Singh Jangi,Communist Party of India (Marxist-Leninist) (Liberation),13,8,14,16,96,72,60,16,16,7,4,Uttarakhand-Lalkuwa,Lalkuwa
6,Manoj Pandey,Samajwadi Party,5,7,4,16,7,13,16,13,6,6,2,Uttarakhand-Lalkuwa,Lalkuwa
7,Ram Singh,Republican Party of India (A),2,4,5,8,8,23,26,13,8,1,5,Uttarakhand-Lalkuwa,Lalkuwa
8,Kundan Singh Mehta,Independent,18,24,17,29,130,341,750,35,31,9,158,Uttarakhand-Lalkuwa,Lalkuwa
9,Naveen Chandra Pant,Independent,8,13,14,9,17,44,21,15,10,7,2,Uttarakhand-Lalkuwa,Lalkuwa
10,Pawan Kumar Chauhan,Independent,11,25,1140,729,267,69,21,50,11,9,1,Uttarakhand-Lalkuwa,Lalkuwa
11,Yashpal Arya,Independent,37,29,44,36,67,169,46,405,38,24,4,Uttarakhand-Lalkuwa,Lalkuwa
12,Virenderpuri Maharaj,Independent,36,31,45,39,81,83,71,72,45,18,6,Uttarakhand-Lalkuwa,Lalkuwa
13,Sandhya Dalakoti,Independent,260,266,145,106,177,319,294,1846,313,121,50,Uttarakhand-Lalkuwa,Lalkuwa
14,NOTA,None of the Above,74,49,47,38,80,80,78,122,49,44,25,Uttarakhand-Lalkuwa,Lalkuwa
